base_name,Critic_Score,Global_Sales,Price,if_not_score,Company_Size_Large,Company_Size_Medium,Company_Size_Small,ESRB_Rating_Level1,ESRB_Rating_Level2,ESRB_Rating_Level3,ESRB_Rating_Level4,Platform_Game Console,Platform_Handheld,Platform_PC,Genre_Action,Genre_Action-Adventure,Genre_Adventure,Genre_Fighting,Genre_MMO,Genre_Misc,Genre_Music,Genre_Party,Genre_Platform,Genre_Puzzle,Genre_Racing,Genre_Role-Playing,Genre_Shooter,Genre_Simulation,Genre_Sports,Genre_Strategy,Genre_Visual Novel
akatsuki_no_amaneka_to_aoi_kyojin,0.0,0.008100000000000001,26.020500000000006,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
akatsuki_no_goei_trinity,0.0,0.008100000000000001,19.401356589147277,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
akatsuki_no_goei_trinity,0.0,0.008100000000000001,18.764469026548674,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
akb1149_love_election,0.0,0.06480000000000001,22.885476190476194,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
akb1149_love_election,0.0,0.24300000000000002,19.230974025974028,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
akb148_idol_to_guam_de_koishitara,0.0,0.32400000000000007,18.764469026548674,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
akb148_idol_to_guam_de_koishitara,0.0,0.008100000000000001,19.401356589147277,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
akb148_idol_to_koishitara,0.0,0.3321,18.764469026548674,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
akb48me,0.0,0.08910000000000001,18.764469026548674,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
akibas_beat,0.0,0.06480000000000001,19.37,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
